dataset,detector,failure_type,analysis_class_name,object_size_bin,risk_level,count,high_confidence_count,safety_relevant_count,mean_score,mean_iou,mean_best_same_class_iou,mean_best_wrong_class_iou
waymo,yolo,false_negative,Pedestrian,small,critical,6366,0,6366,,,0.014143,0.006562
waymo,yolo,false_negative,Pedestrian,medium,critical,72,0,72,,,0.134278,0.041179
waymo,yolo,false_negative,Pedestrian,large,critical,1,0,1,,,0.48536,0.0
waymo,yolo,false_negative,Cyclist,small,critical,629,0,629,,,0.004231,0.020651
waymo,yolo,false_negative,Cyclist,medium,critical,31,0,31,,,0.069829,0.294728
waymo,yolo,false_negative,Cyclist,large,critical,10,0,10,,,0.0,0.057774
waymo,yolo,false_positive,Vehicle,not_applicable,low,2731,100,0,0.03154199,0.34313,0.316743,
waymo,yolo,false_positive,Pedestrian,not_applicable,medium,3455,44,3455,0.01490053,0.48945,0.436144,
waymo,yolo,false_positive,Cyclist,not_applicable,medium,375,9,375,0.02183861,0.375121,0.066591,
waymo,yolo,localization_error,Vehicle,small,low,417,37,0,0.07217,0.278134,0.278134,0.046077
waymo,yolo,localization_error,Vehicle,medium,low,104,18,0,0.1267602,0.341639,0.341639,0.131929
waymo,yolo,localization_error,Vehicle,large,low,39,4,0,0.07454172,0.277722,0.277722,0.023796
waymo,yolo,localization_error,Pedestrian,small,medium,289,3,289,0.01274702,0.268248,0.268248,0.037681
waymo,yolo,localization_error,Pedestrian,medium,medium,25,0,25,0.0044107,0.386722,0.386722,0.056351
waymo,yolo,localization_error,Pedestrian,large,medium,1,0,1,0.00510254,0.48536,0.48536,0.0
waymo,yolo,localization_error,Cyclist,small,medium,8,1,8,0.06921626,0.332644,0.332644,0.039848
waymo,yolo,localization_error,Cyclist,medium,medium,5,2,5,0.26778494,0.432937,0.432937,0.178082
waymo,yolo,class_confusion,Vehicle,small,high,59,0,59,0.00457753,0.441945,0.102386,0.441945
waymo,yolo,class_confusion,Vehicle,medium,high,24,0,24,0.00476694,0.41037,0.361678,0.41037
waymo,yolo,class_confusion,Pedestrian,small,high,42,1,42,0.0358124,0.499653,0.113821,0.499653
waymo,yolo,class_confusion,Pedestrian,medium,high,4,0,4,0.00817794,0.605478,0.225476,0.605478
waymo,yolo,class_confusion,Cyclist,small,high,15,2,15,0.0784493,0.700811,0.0,0.700811
waymo,yolo,class_confusion,Cyclist,medium,high,14,6,14,0.25703399,0.63116,0.027903,0.63116
waymo,yolo,class_confusion,Cyclist,large,high,1,0,1,0.008968,0.390414,0.0,0.390414
waymo,yolo,duplicate_detection,Vehicle,small,low,206,7,0,0.03534299,0.716264,0.716264,
waymo,yolo,duplicate_detection,Vehicle,medium,low,327,13,0,0.03704693,0.728991,0.728991,
waymo,yolo,duplicate_detection,Vehicle,large,low,124,9,0,0.05846562,0.720195,0.720195,
waymo,yolo,duplicate_detection,Pedestrian,small,low,567,2,567,0.01137362,0.665059,0.665059,
waymo,yolo,duplicate_detection,Pedestrian,medium,low,972,22,972,0.01997259,0.69519,0.69519,
waymo,yolo,duplicate_detection,Pedestrian,large,low,238,0,238,0.0129776,0.664747,0.664747,
waymo,yolo,duplicate_detection,Cyclist,small,low,17,1,17,0.04053606,0.656683,0.656683,
waymo,yolo,duplicate_detection,Cyclist,medium,low,6,0,6,0.02604919,0.623379,0.623379,
waymo,yolo,true_positive,Vehicle,small,none,1368,749,0,0.44058101,0.78536,0.78536,
waymo,yolo,true_positive,Vehicle,medium,none,835,640,0,0.64154109,0.803938,0.803938,
waymo,yolo,true_positive,Vehicle,large,none,536,421,0,0.68445298,0.833914,0.833914,
waymo,yolo,true_positive,Pedestrian,small,none,380,108,380,0.20980861,0.684103,0.684103,
waymo,yolo,true_positive,Pedestrian,medium,none,262,198,262,0.59647406,0.745504,0.745504,
waymo,yolo,true_positive,Pedestrian,large,none,46,36,46,0.66060281,0.755709,0.755709,
waymo,yolo,true_positive,Cyclist,small,none,55,20,55,0.25056238,0.649644,0.649644,
waymo,yolo,true_positive,Cyclist,medium,none,35,20,35,0.4658183,0.660392,0.660392,
waymo,yolo,true_positive,Cyclist,large,none,4,4,4,0.87302064,0.827575,0.827575,
waymo,rtdetr,false_negative,Vehicle,small,medium,11396,0,0,,,0.130701,0.074647
waymo,rtdetr,false_negative,Vehicle,medium,medium,353,0,0,,,0.263185,0.1388
waymo,rtdetr,false_negative,Vehicle,large,medium,118,0,0,,,0.254526,0.126815
waymo,rtdetr,false_negative,Pedestrian,small,critical,5241,0,5241,,,0.132166,0.115394
waymo,rtdetr,false_negative,Pedestrian,medium,critical,44,0,44,,,0.117918,0.249495
waymo,rtdetr,false_negative,Pedestrian,large,critical,2,0,2,,,0.357421,0.318959
waymo,rtdetr,false_negative,Cyclist,small,critical,516,0,516,,,0.10691,0.166733
waymo,rtdetr,false_negative,Cyclist,medium,critical,8,0,8,,,0.193818,0.2011
waymo,rtdetr,false_negative,Cyclist,large,critical,9,0,9,,,0.285883,0.195043
waymo,rtdetr,false_positive,Vehicle,not_applicable,low,162755,539,0,0.01194197,0.114504,0.09232,
waymo,rtdetr,false_positive,Pedestrian,not_applicable,medium,74632,391,74632,0.01560204,0.18424,0.088944,
waymo,rtdetr,false_positive,Cyclist,not_applicable,medium,54281,92,54281,0.01161264,0.140264,0.013966,
waymo,rtdetr,localization_error,Vehicle,small,low,5099,94,0,0.0257363,0.257989,0.257989,0.122371
waymo,rtdetr,localization_error,Vehicle,medium,low,294,6,0,0.02078946,0.309262,0.309262,0.158406
waymo,rtdetr,localization_error,Vehicle,large,low,95,1,0,0.01495086,0.302623,0.302623,0.136082
waymo,rtdetr,localization_error,Pedestrian,small,medium,2336,12,2336,0.02196548,0.275697,0.275697,0.203932
waymo,rtdetr,localization_error,Pedestrian,medium,medium,13,0,13,0.01351648,0.388622,0.388622,0.427238
waymo,rtdetr,localization_error,Pedestrian,large,medium,2,0,2,0.05205733,0.357421,0.357421,0.318959
waymo,rtdetr,localization_error,Cyclist,small,medium,178,3,178,0.02996739,0.294557,0.294557,0.320537
waymo,rtdetr,localization_error,Cyclist,medium,medium,6,0,6,0.00593418,0.258077,0.258077,0.204081
waymo,rtdetr,localization_error,Cyclist,large,medium,7,0,7,0.00738467,0.349806,0.349806,0.233669
waymo,rtdetr,class_confusion,Vehicle,small,high,836,0,836,0.01037178,0.396309,0.32597,0.396309
waymo,rtdetr,class_confusion,Vehicle,medium,high,64,0,64,0.00996093,0.410668,0.406827,0.410668
waymo,rtdetr,class_confusion,Vehicle,large,high,17,0,17,0.00661237,0.383131,0.304625,0.383131
waymo,rtdetr,class_confusion,Pedestrian,small,high,699,2,699,0.02128889,0.397534,0.369846,0.397534
waymo,rtdetr,class_confusion,Pedestrian,medium,high,22,0,22,0.00985017,0.401026,0.212978,0.401026
waymo,rtdetr,class_confusion,Pedestrian,large,high,1,0,1,0.0505416,0.441864,0.441864,0.441864
