dataset,detector,image_id,image_path,false_negative_count,false_positive_count,localization_error_count,class_confusion_count,duplicate_detection_count,high_confidence_false_positive_count,safety_relevant_failure_count,total_non_tp_failure_events,failure_type_score,image_width,image_height,total_gt_in_image,total_predictions_in_image
waymo,rtdetr,2736377008667623133_2676_410_2696_410_1511721510500682,data\processed\milestone_3\images\waymo\external\2736377008667623133_2676_410_2696_410_1511721510500682.png,2,299,0,0,1,0,196,302,500.610702,640,640,3,300
waymo,rtdetr,12657584952502228282_3940_000_3960_000_1549937211398460,data\processed\milestone_3\images\waymo\external\12657584952502228282_3940_000_3960_000_1549937211398460.png,24,286,19,5,19,1,116,353,500.38555,640,640,38,300
waymo,rtdetr,933621182106051783_4160_000_4180_000_1543516672772394,data\processed\milestone_3\images\waymo\external\933621182106051783_4160_000_4180_000_1543516672772394.png,24,283,5,1,37,1,118,350,500.329116,640,640,41,300
waymo,rtdetr,933621182106051783_4160_000_4180_000_1543516673272452,data\processed\milestone_3\images\waymo\external\933621182106051783_4160_000_4180_000_1543516673272452.png,27,287,15,3,28,2,105,360,500.238074,640,640,40,300
waymo,rtdetr,14931160836268555821_5778_870_5798_870_1507338341930342,data\processed\milestone_3\images\waymo\external\14931160836268555821_5778_870_5798_870_1507338341930342.png,7,297,1,0,5,1,176,310,499.929218,640,640,10,300
kitti,rtdetr,003784,data\processed\milestone_3\images\kitti\val\003784.png,0,295,0,0,26,1,202,321,499.536094,640,640,5,300
kitti,rtdetr,006818,data\processed\milestone_3\images\kitti\val\006818.png,0,296,0,0,15,1,198,311,498.994659,640,640,4,300
waymo,rtdetr,3039251927598134881_1240_610_1260_610_1507246311901410,data\processed\milestone_3\images\waymo\external\3039251927598134881_1240_610_1260_610_1507246311901410.png,19,297,11,1,4,0,134,332,498.772915,640,640,22,300
waymo,rtdetr,16213317953898915772_1597_170_1617_170_1509233618293733,data\processed\milestone_3\images\waymo\external\16213317953898915772_1597_170_1617_170_1509233618293733.png,19,282,10,5,18,1,134,334,498.755576,640,640,37,300
waymo,rtdetr,14300007604205869133_1160_000_1180_000_1544753140773668,data\processed\milestone_3\images\waymo\external\14300007604205869133_1160_000_1180_000_1544753140773668.png,28,295,10,1,8,0,131,342,498.602336,640,640,33,300
waymo,rtdetr,8679184381783013073_7740_000_7760_000_1541816064398870,data\processed\milestone_3\images\waymo\external\8679184381783013073_7740_000_7760_000_1541816064398870.png,32,296,13,1,1,0,114,343,498.564362,640,640,36,300
kitti,rtdetr,003054,data\processed\milestone_3\images\kitti\val\003054.png,0,299,0,0,10,3,198,309,498.482119,640,640,1,300
waymo,rtdetr,8679184381783013073_7740_000_7760_000_1541816065898902,data\processed\milestone_3\images\waymo\external\8679184381783013073_7740_000_7760_000_1541816065898902.png,31,296,13,1,3,0,114,344,498.479065,640,640,35,300
waymo,rtdetr,933621182106051783_4160_000_4180_000_1543516677772377,data\processed\milestone_3\images\waymo\external\933621182106051783_4160_000_4180_000_1543516677772377.png,24,291,10,4,18,2,122,347,498.055076,640,640,33,300
waymo,rtdetr,4690718861228194910_1980_000_2000_000_1552693974249248,data\processed\milestone_3\images\waymo\external\4690718861228194910_1980_000_2000_000_1552693974249248.png,28,288,18,2,17,4,113,353,497.936618,640,640,40,300
waymo,rtdetr,4409585400955983988_3500_470_3520_470_1507165533489865,data\processed\milestone_3\images\waymo\external\4409585400955983988_3500_470_3520_470_1507165533489865.png,1,300,1,0,0,0,194,302,497.740419,640,640,1,300
waymo,rtdetr,2736377008667623133_2676_410_2696_410_1511721510000596,data\processed\milestone_3\images\waymo\external\2736377008667623133_2676_410_2696_410_1511721510000596.png,2,299,1,1,1,0,190,304,497.67529,640,640,3,300
waymo,rtdetr,4690718861228194910_1980_000_2000_000_1552693989249297,data\processed\milestone_3\images\waymo\external\4690718861228194910_1980_000_2000_000_1552693989249297.png,33,290,15,1,17,3,99,356,497.640036,640,640,43,300
waymo,rtdetr,6324079979569135086_2372_300_2392_300_1506988297259243,data\processed\milestone_3\images\waymo\external\6324079979569135086_2372_300_2392_300_1506988297259243.png,21,288,11,0,23,0,139,343,497.629192,640,640,33,300
waymo,rtdetr,14300007604205869133_1160_000_1180_000_1544753141273685,data\processed\milestone_3\images\waymo\external\14300007604205869133_1160_000_1180_000_1544753141273685.png,29,297,11,4,2,0,120,343,497.598053,640,640,32,300
