dataset,detector,image_id,image_path,missed_pedestrians,missed_cyclists,small_missed_vru,medium_missed_vru,large_missed_vru,total_safety_false_negatives,max_best_same_class_iou,max_best_wrong_class_iou,safety_critical_score,image_width,image_height,total_gt_in_image,total_predictions_in_image
waymo,retinanet,8506432817378693815_4860_000_4880_000_1557857356634947,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857356634947.png,32,1,33,0,0,33,0.413674,0.60258,49.75,640,640,60,23
waymo,faster_rcnn,13356997604177841771_3360_000_3380_000_1557267377587261,data\processed\milestone_3\images\waymo\external\13356997604177841771_3360_000_3380_000_1557267377587261.png,32,1,33,0,0,33,0.204531,0.331276,49.75,640,640,49,10
waymo,faster_rcnn,8506432817378693815_4860_000_4880_000_1557857357135138,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857357135138.png,32,1,33,0,0,33,0.458119,0.272174,49.75,640,640,59,23
waymo,yolo,9114112687541091312_1100_000_1120_000_1544144340316344,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144340316344.png,30,3,32,1,0,33,0.0,0.0,49.75,640,640,46,3
waymo,yolo,9114112687541091312_1100_000_1120_000_1544144337316333,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144337316333.png,29,3,32,0,0,32,0.0,0.0,48.75,640,640,44,2
waymo,retinanet,9114112687541091312_1100_000_1120_000_1544144325716300,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144325716300.png,29,3,32,0,0,32,0.392002,0.192395,48.75,640,640,48,12
waymo,retinanet,9114112687541091312_1100_000_1120_000_1544144339816354,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144339816354.png,29,3,32,0,0,32,0.437916,0.0,48.75,640,640,47,9
waymo,retinanet,9114112687541091312_1100_000_1120_000_1544144340816348,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144340816348.png,29,3,32,0,0,32,0.009622,0.007517,48.75,640,640,47,7
waymo,retinanet,9114112687541091312_1100_000_1120_000_1544144341816280,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144341816280.png,29,3,32,0,0,32,0.0,0.0,48.75,640,640,48,6
waymo,faster_rcnn,9114112687541091312_1100_000_1120_000_1544144325216299,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144325216299.png,29,3,32,0,0,32,0.473825,0.0,48.75,640,640,47,9
waymo,faster_rcnn,9114112687541091312_1100_000_1120_000_1544144325716300,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144325716300.png,29,3,32,0,0,32,0.406976,0.354814,48.75,640,640,48,13
waymo,faster_rcnn,9114112687541091312_1100_000_1120_000_1544144338816151,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144338816151.png,29,3,32,0,0,32,0.305862,0.173259,48.75,640,640,45,9
waymo,retinanet,8506432817378693815_4860_000_4880_000_1557857361137300,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857361137300.png,30,2,32,0,0,32,0.464003,0.197744,48.5,640,640,47,20
waymo,retinanet,8506432817378693815_4860_000_4880_000_1557857362637395,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857362637395.png,30,2,32,0,0,32,0.273567,0.410876,48.5,640,640,48,25
waymo,retinanet,8506432817378693815_4860_000_4880_000_1557857367137450,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857367137450.png,30,2,32,0,0,32,0.420898,0.043845,48.5,640,640,47,17
waymo,retinanet,8506432817378693815_4860_000_4880_000_1557857367637448,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857367637448.png,30,2,32,0,0,32,0.473862,0.438602,48.5,640,640,47,20
waymo,faster_rcnn,8506432817378693815_4860_000_4880_000_1557857360637369,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857360637369.png,30,2,32,0,0,32,0.356155,0.341139,48.5,640,640,51,29
waymo,faster_rcnn,8506432817378693815_4860_000_4880_000_1557857361137300,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857361137300.png,30,2,32,0,0,32,0.376943,0.477093,48.5,640,640,47,35
waymo,faster_rcnn,8506432817378693815_4860_000_4880_000_1557857362637395,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857362637395.png,30,2,32,0,0,32,0.414472,0.356434,48.5,640,640,48,25
waymo,faster_rcnn,8506432817378693815_4860_000_4880_000_1557857364137450,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857364137450.png,30,2,32,0,0,32,0.495934,0.439231,48.5,640,640,48,19
waymo,yolo,13356997604177841771_3360_000_3380_000_1557267378587691,data\processed\milestone_3\images\waymo\external\13356997604177841771_3360_000_3380_000_1557267378587691.png,31,1,32,0,0,32,0.16372,0.197601,48.25,640,640,48,4
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857354635133,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857354635133.png,31,1,32,0,0,32,0.0,0.150829,48.25,640,640,57,9
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857356134808,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857356134808.png,31,1,32,0,0,32,0.40862,0.152601,48.25,640,640,61,25
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857357135138,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857357135138.png,31,1,32,0,0,32,0.0,0.166562,48.25,640,640,59,15
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857360137294,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857360137294.png,31,1,32,0,0,32,0.003603,0.187145,48.25,640,640,49,15
waymo,rtdetr,8506432817378693815_4860_000_4880_000_1557857356634947,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857356634947.png,31,1,32,0,0,32,0.499987,0.751497,48.25,640,640,60,300
waymo,rtdetr,8506432817378693815_4860_000_4880_000_1557857358135995,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857358135995.png,31,1,32,0,0,32,0.405376,0.693697,48.25,640,640,55,300
waymo,retinanet,13356997604177841771_3360_000_3380_000_1557267378087469,data\processed\milestone_3\images\waymo\external\13356997604177841771_3360_000_3380_000_1557267378087469.png,31,1,32,0,0,32,0.02232,0.035976,48.25,640,640,48,9
waymo,retinanet,8506432817378693815_4860_000_4880_000_1557857359637183,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857359637183.png,31,1,32,0,0,32,0.410237,0.526393,48.25,640,640,53,18
