dataset,detector,class_name,object_size_bin,tp,fn,gt_objects,recall,false_negative_rate,mean_normalized_area
waymo,retinanet,Vulnerable_Road_Users,medium,321,79,400,0.8025,0.1975,0.00762321
waymo,retinanet,Vulnerable_Road_Users,large,49,12,61,0.803279,0.196721,0.02370492
waymo,retinanet,Vulnerable_Road_Users,all_sizes,1317,6574,7891,0.166899,0.833101,0.00104913
waymo,retinanet,All_Classes,small,2969,18964,21933,0.135367,0.864633,0.00061331
waymo,retinanet,All_Classes,medium,1320,658,1978,0.667341,0.332659,0.00807889
waymo,retinanet,All_Classes,large,751,157,908,0.827093,0.172907,0.03634979
waymo,retinanet,All_Classes,all_sizes,5040,19779,24819,0.20307,0.79693,0.00251571
waymo,faster_rcnn,Vehicle,small,1628,12875,14503,0.112253,0.887747,0.00066664
waymo,faster_rcnn,Vehicle,medium,894,684,1578,0.56654,0.43346,0.0081944
waymo,faster_rcnn,Vehicle,large,581,266,847,0.68595,0.31405,0.03726046
waymo,faster_rcnn,Vehicle,all_sizes,3103,13825,16928,0.183306,0.816694,0.00319935
waymo,faster_rcnn,Pedestrian,small,735,6011,6746,0.108953,0.891047,0.00050774
waymo,faster_rcnn,Pedestrian,medium,251,83,334,0.751497,0.248503,0.00787593
waymo,faster_rcnn,Pedestrian,large,44,3,47,0.93617,0.06383,0.02370068
waymo,faster_rcnn,Pedestrian,all_sizes,1030,6097,7127,0.144521,0.855479,0.001006
waymo,faster_rcnn,Cyclist,small,69,615,684,0.100877,0.899123,0.00052367
waymo,faster_rcnn,Cyclist,medium,41,25,66,0.621212,0.378788,0.00634433
waymo,faster_rcnn,Cyclist,large,4,10,14,0.285714,0.714286,0.02371914
waymo,faster_rcnn,Cyclist,all_sizes,114,650,764,0.149215,0.850785,0.00145155
waymo,faster_rcnn,Vulnerable_Road_Users,small,804,6626,7430,0.10821,0.89179,0.00050921
waymo,faster_rcnn,Vulnerable_Road_Users,medium,292,108,400,0.73,0.27,0.00762321
waymo,faster_rcnn,Vulnerable_Road_Users,large,48,13,61,0.786885,0.213115,0.02370492
waymo,faster_rcnn,Vulnerable_Road_Users,all_sizes,1144,6747,7891,0.144975,0.855025,0.00104913
waymo,faster_rcnn,All_Classes,small,2432,19501,21933,0.110883,0.889117,0.00061331
waymo,faster_rcnn,All_Classes,medium,1186,792,1978,0.599596,0.400404,0.00807889
waymo,faster_rcnn,All_Classes,large,629,279,908,0.692731,0.307269,0.03634979
waymo,faster_rcnn,All_Classes,all_sizes,4247,20572,24819,0.171119,0.828881,0.00251571
